City,State,StateCode,County
abanda,alabama,al,chambers
abbeville,alabama,al,henry
adamsville,alabama,al,jefferson
addison,alabama,al,winston
akron,alabama,al,hale
alabaster,alabama,al,shelby
albertville,alabama,al,marshall
alexander_city,alabama,al,tallapoosa
alexandria,alabama,al,calhoun
aliceville,alabama,al,pickens
allgood,alabama,al,blount
altoona,alabama,al,etowah
andalusia,alabama,al,covington
anderson,alabama,al,lauderdale
anniston,alabama,al,calhoun
arab,alabama,al,marshall
ardmore,alabama,al,limestone
argo,alabama,al,st._clair
ariton,alabama,al,dale
arley,alabama,al,winston
ashford,alabama,al,houston
ashland,alabama,al,clay
ashville,alabama,al,st._clair
athens,alabama,al,limestone
atmore,alabama,al,escambia
attalla,alabama,al,etowah
auburn,alabama,al,lee
autaugaville,alabama,al,autauga
avon,alabama,al,houston
axis,alabama,al,mobile
babbie,alabama,al,covington
baileyton,alabama,al,cullman
bakerhill,alabama,al,barbour
ballplay,alabama,al,etowah
banks,alabama,al,pike
bay_minette,alabama,al,baldwin
bayou_la_batre,alabama,al,mobile
bear_creek,alabama,al,marion
beatrice,alabama,al,monroe
beaverton,alabama,al,lamar
belgreen,alabama,al,franklin
belk,alabama,al,fayette
bellamy,alabama,al,sumter
belle_fontaine,alabama,al,mobile
benton,alabama,al,lowndes
berry,alabama,al,fayette
bessemer,alabama,al,jefferson
billingsley,alabama,al,autauga
birmingham,alabama,al,jefferson
black,alabama,al,geneva
blountsville,alabama,al,blount
blue_ridge,alabama,al,elmore
blue_springs,alabama,al,barbour
boaz,alabama,al,marshall
boligee,alabama,al,greene
bon_air,alabama,al,talladega
boykin,alabama,al,wilcox
brantley,alabama,al,crenshaw
brantleyville,alabama,al,shelby
brent,alabama,al,bibb
brewton,alabama,al,escambia
bridgeport,alabama,al,jackson
brighton,alabama,al,jefferson
brilliant,alabama,al,marion
bristow_cove,alabama,al,etowah
brook_highland,alabama,al,shelby
brookside,alabama,al,jefferson
brookwood,alabama,al,tuscaloosa
broomtown,alabama,al,cherokee
brundidge,alabama,al,pike
butler,alabama,al,choctaw
calera,alabama,al,shelby
calvert,alabama,al,washington
camden,alabama,al,wilcox
camp_hill,alabama,al,tallapoosa
carbon_hill,alabama,al,walker
cardiff,alabama,al,jefferson
carlisle-rockledge,alabama,al,etowah
carlton,alabama,al,clarke
carolina,alabama,al,covington
carrollton,alabama,al,pickens
castleberry,alabama,al,conecuh
cedar_bluff,alabama,al,cherokee
center_point,alabama,al,jefferson
centre,alabama,al,cherokee
centreville,alabama,al,bibb
chatom,alabama,al,washington
chelsea,alabama,al,shelby
cherokee,alabama,al,colbert
chickasaw,alabama,al,mobile
childersburg,alabama,al,talladega
choccolocco,alabama,al,calhoun
chunchula,alabama,al,mobile
citronelle,alabama,al,mobile
clanton,alabama,al,chilton
clay,alabama,al,jefferson
clayhatchee,alabama,al,dale
clayton,alabama,al,barbour
cleveland,alabama,al,blount
clio,alabama,al,barbour
coaling,alabama,al,tuscaloosa
coats_bend,alabama,al,etowah
coffee_springs,alabama,al,geneva
coffeeville,alabama,al,clarke
coker,alabama,al,tuscaloosa
collinsville,alabama,al,dekalb
colony,alabama,al,cullman
columbia,alabama,al,houston
columbiana,alabama,al,shelby
concord,alabama,al,jefferson
coosada,alabama,al,elmore
cordova,alabama,al,walker
cottondale,alabama,al,tuscaloosa
cottonwood,alabama,al,houston
county_line,alabama,al,blount
courtland,alabama,al,lawrence
cowarts,alabama,al,houston
creola,alabama,al,mobile
crossville,alabama,al,dekalb
cuba,alabama,al,sumter
cullman,alabama,al,cullman
cullomburg,alabama,al,choctaw
cusseta,alabama,al,chambers
dadeville,alabama,al,tallapoosa
daleville,alabama,al,dale
daphne,alabama,al,baldwin
dauphin_island,alabama,al,mobile
daviston,alabama,al,tallapoosa
dayton,alabama,al,marengo
deatsville,alabama,al,elmore
decatur,alabama,al,morgan
deer_park,alabama,al,washington
delta,alabama,al,clay
demopolis,alabama,al,marengo
detroit,alabama,al,lamar
dodge_city,alabama,al,cullman
dora,alabama,al,walker
dothan,alabama,al,houston
double_springs,alabama,al,winston
douglas,alabama,al,marshall
dozier,alabama,al,crenshaw
dunnavant,alabama,al,shelby
dutton,alabama,al,jackson
east_brewton,alabama,al,escambia
east_point,alabama,al,cullman
eclectic,alabama,al,elmore
edgewater,alabama,al,jefferson
edwardsville,alabama,al,cleburne
egypt,alabama,al,etowah
elba,alabama,al,coffee
elberta,alabama,al,baldwin
eldridge,alabama,al,walker
elkmont,alabama,al,limestone
elmore,alabama,al,elmore
emelle,alabama,al,sumter
emerald_mountain,alabama,al,elmore
enterprise,alabama,al,coffee
epes,alabama,al,sumter
ethelsville,alabama,al,pickens
eufaula,alabama,al,barbour
eunola,alabama,al,geneva
eutaw,alabama,al,greene
eva,alabama,al,morgan
evergreen,alabama,al,conecuh
excel,alabama,al,monroe
fairfield,alabama,al,jefferson
fairford,alabama,al,washington
fairhope,alabama,al,baldwin
fairview,alabama,al,cullman
falkville,alabama,al,morgan
faunsdale,alabama,al,marengo
fayette,alabama,al,fayette
fayetteville,alabama,al,talladega
fitzpatrick,alabama,al,bullock
five_points,alabama,al,chambers
flomaton,alabama,al,escambia
florala,alabama,al,covington
florence,alabama,al,lauderdale
foley,alabama,al,baldwin
forestdale,alabama,al,jefferson
forkland,alabama,al,greene
fort_deposit,alabama,al,lowndes
fort_payne,alabama,al,dekalb
fort_rucker,alabama,al,dale
franklin,alabama,al,macon
fredonia,alabama,al,chambers
frisco_city,alabama,al,monroe
fruitdale,alabama,al,washington
fruithurst,alabama,al,cleburne
fulton,alabama,al,clarke
fultondale,alabama,al,jefferson
fyffe,alabama,al,dekalb
gadsden,alabama,al,etowah
gainesville,alabama,al,sumter
gallant,alabama,al,etowah
gantt,alabama,al,covington
garden_city,alabama,al,cullman
gardendale,alabama,al,jefferson
gaylesville,alabama,al,cherokee
geiger,alabama,al,sumter
geneva,alabama,al,geneva
georgiana,alabama,al,butler
geraldine,alabama,al,dekalb
gilbertown,alabama,al,choctaw
glen_allen,alabama,al,fayette
glencoe,alabama,al,etowah
glenwood,alabama,al,crenshaw
goldville,alabama,al,tallapoosa
good_hope,alabama,al,cullman
goodwater,alabama,al,coosa
gordo,alabama,al,pickens
gordon,alabama,al,houston
gordonville,alabama,al,lowndes
goshen,alabama,al,pike
graham,alabama,al,randolph
grand_bay,alabama,al,mobile
grant,alabama,al,marshall
grayson_valley,alabama,al,jefferson
graysville,alabama,al,jefferson
greensboro,alabama,al,hale
greenville,alabama,al,butler
grimes,alabama,al,dale
grove_hill,alabama,al,clarke
guin,alabama,al,marion
gulf_shores,alabama,al,baldwin
gulfcrest,alabama,al,mobile
guntersville,alabama,al,marshall
gurley,alabama,al,madison
gu-win,alabama,al,marion
hackleburg,alabama,al,marion
hackneyville,alabama,al,tallapoosa
haleburg,alabama,al,henry
haleyville,alabama,al,winston
hamilton,alabama,al,marion
hammondville,alabama,al,dekalb
hanceville,alabama,al,cullman
harpersville,alabama,al,shelby
hartford,alabama,al,geneva
hartselle,alabama,al,morgan
harvest,alabama,al,madison
hatton,alabama,al,lawrence
hayden,alabama,al,blount
hayneville,alabama,al,lowndes
hazel_green,alabama,al,madison
headland,alabama,al,henry
heath,alabama,al,covington
heflin,alabama,al,cleburne
helena,alabama,al,shelby
henagar,alabama,al,dekalb
highland_lake,alabama,al,blount
highland_lakes,alabama,al,shelby
hillsboro,alabama,al,lawrence
hissop,alabama,al,coosa
hobson,alabama,al,washington
hobson_city,alabama,al,calhoun
hodges,alabama,al,franklin
hokes_bluff,alabama,al,etowah
hollins,alabama,al,clay
hollis_crossroads,alabama,al,cleburne
holly_pond,alabama,al,cullman
hollywood,alabama,al,jackson
holt,alabama,al,tuscaloosa
holtville,alabama,al,elmore
homewood,alabama,al,jefferson
hoover,alabama,al,jefferson
horn_hill,alabama,al,covington
hueytown,alabama,al,jefferson
huguley,alabama,al,chambers
huntsville,alabama,al,madison
hurtsboro,alabama,al,russell
hytop,alabama,al,jackson
ider,alabama,al,dekalb
indian_springs_village,alabama,al,shelby
irondale,alabama,al,jefferson
ivalee,alabama,al,etowah
jackson,alabama,al,clarke
jacksons'_gap,alabama,al,tallapoosa
jacksonville,alabama,al,calhoun
jasper,alabama,al,walker
jemison,alabama,al,chilton
joppa,alabama,al,cullman
kansas,alabama,al,walker
kellyton,alabama,al,coosa
kennedy,alabama,al,lamar
killen,alabama,al,lauderdale
kimberly,alabama,al,jefferson
kinsey,alabama,al,houston
kinston,alabama,al,coffee
la_fayette,alabama,al,chambers
ladonia,alabama,al,russell
lake_view,alabama,al,tuscaloosa
lakeview,alabama,al,dekalb
lanett,alabama,al,chambers
langston,alabama,al,jackson
leeds,alabama,al,jefferson
leesburg,alabama,al,cherokee
leighton,alabama,al,colbert
leroy,alabama,al,washington
lester,alabama,al,limestone
level_plains,alabama,al,dale
lexington,alabama,al,lauderdale
libertyville,alabama,al,covington
lincoln,alabama,al,talladega
linden,alabama,al,marengo
lineville,alabama,al,clay
lipscomb,alabama,al,jefferson
lisman,alabama,al,choctaw
littleville,alabama,al,colbert
livingston,alabama,al,sumter
loachapoka,alabama,al,lee
lockhart,alabama,al,covington
locust_fork,alabama,al,blount
lookout_mountain,alabama,al,etowah
louisville,alabama,al,barbour
lowndesboro,alabama,al,lowndes
loxley,alabama,al,baldwin
luverne,alabama,al,crenshaw
lynn,alabama,al,winston
macedonia,alabama,al,pickens
madison,alabama,al,madison
madrid,alabama,al,houston
magnolia_springs,alabama,al,baldwin
malcolm,alabama,al,washington
malvern,alabama,al,geneva
maplesville,alabama,al,chilton
marbury,alabama,al,autauga
margaret,alabama,al,st._clair
marion,alabama,al,perry
maytown,alabama,al,jefferson
mcdonald_chapel,alabama,al,jefferson
mcintosh,alabama,al,washington
mckenzie,alabama,al,butler
mcmullen,alabama,al,pickens
meadowbrook,alabama,al,shelby
megargel,alabama,al,monroe
memphis,alabama,al,pickens
mentone,alabama,al,dekalb
meridianville,alabama,al,madison
midfield,alabama,al,jefferson
midland_city,alabama,al,dale
midway,alabama,al,bullock
mignon,alabama,al,talladega
millbrook,alabama,al,elmore
millerville,alabama,al,clay
millport,alabama,al,lamar
millry,alabama,al,washington
minor,alabama,al,jefferson
mobile,alabama,al,mobile
monroeville,alabama,al,monroe
montevallo,alabama,al,shelby
montgomery,alabama,al,montgomery
moody,alabama,al,st._clair
moores_mill,alabama,al,madison
mooresville,alabama,al,limestone
morris,alabama,al,jefferson
morrison_crossroads,alabama,al,randolph
mosses,alabama,al,lowndes
moulton,alabama,al,lawrence
moundville,alabama,al,hale
mount_olive_(coosa_cnty),alabama,al,coosa
mount_olive_(jefferson_cnty),alabama,al,jefferson
mount_vernon,alabama,al,mobile
mountain_brook,alabama,al,jefferson
movico,alabama,al,mobile
mulga,alabama,al,jefferson
munford,alabama,al,talladega
muscle_shoals,alabama,al,colbert
myrtlewood,alabama,al,marengo
nanafalia,alabama,al,marengo
nances_creek,alabama,al,calhoun
napier_field,alabama,al,dale
natural_bridge,alabama,al,winston
nauvoo,alabama,al,walker
nectar,alabama,al,blount
needham,alabama,al,choctaw
new_brockton,alabama,al,coffee
new_hope,alabama,al,madison
new_market,alabama,al,madison
new_site,alabama,al,tallapoosa
new_union,alabama,al,etowah
newbern,alabama,al,hale
newton,alabama,al,dale
newville,alabama,al,henry
north_courtland,alabama,al,lawrence
north_johns,alabama,al,jefferson
northport,alabama,al,tuscaloosa
notasulga,alabama,al,macon
oak_grove,alabama,al,talladega
oak_hill,alabama,al,wilcox
oakman,alabama,al,walker
odenville,alabama,al,st._clair
ohatchee,alabama,al,calhoun
oneonta,alabama,al,blount
onycha,alabama,al,covington
opelika,alabama,al,lee
opp,alabama,al,covington
orange_beach,alabama,al,baldwin
orrville,alabama,al,dallas
our_town,alabama,al,tallapoosa
owens_cross_roads,alabama,al,madison
oxford,alabama,al,calhoun
ozark,alabama,al,dale
paint_rock,alabama,al,jackson
panola,alabama,al,sumter
parrish,alabama,al,walker
pelham,alabama,al,shelby
pell_city,alabama,al,st._clair
pennington,alabama,al,choctaw
penton,alabama,al,chambers
perdido_beach,alabama,al,baldwin
peterman,alabama,al,monroe
petrey,alabama,al,crenshaw
phenix_city,alabama,al,russell
phil_campbell,alabama,al,franklin
pickensville,alabama,al,pickens
piedmont,alabama,al,calhoun
pike_road,alabama,al,montgomery
pinckard,alabama,al,dale
pine_apple,alabama,al,wilcox
pine_hill,alabama,al,wilcox
pine_level,alabama,al,autauga
pine_ridge,alabama,al,dekalb
pinson,alabama,al,jefferson
pisgah,alabama,al,jackson
pleasant_grove,alabama,al,jefferson
pleasant_groves,alabama,al,jackson
point_clear,alabama,al,baldwin
pollard,alabama,al,escambia
powell,alabama,al,dekalb
prattville,alabama,al,autauga
priceville,alabama,al,morgan
prichard,alabama,al,mobile
providence,alabama,al,marengo
putnam,alabama,al,marengo
ragland,alabama,al,st._clair
rainbow_city,alabama,al,etowah
rainsville,alabama,al,dekalb
ranburne,alabama,al,cleburne
ray,alabama,al,coosa
red_bay,alabama,al,franklin
red_level,alabama,al,covington
redland,alabama,al,elmore
redstone_arsenal,alabama,al,madison
reece_city,alabama,al,etowah
reeltown,alabama,al,tallapoosa
reform,alabama,al,pickens
rehobeth,alabama,al,houston
repton,alabama,al,conecuh
ridgeville,alabama,al,etowah
river_falls,alabama,al,covington
riverside,alabama,al,st._clair
riverview,alabama,al,escambia
roanoke,alabama,al,randolph
robertsdale,alabama,al,baldwin
rock_creek,alabama,al,jefferson
rock_mills,alabama,al,randolph
rockford,alabama,al,coosa
rockville,alabama,al,clarke
rogersville,alabama,al,lauderdale
rosa,alabama,al,blount
russellville,alabama,al,franklin
rutledge,alabama,al,crenshaw
saks,alabama,al,calhoun
samson,alabama,al,geneva
sand_rock,alabama,al,cherokee
sanford,alabama,al,covington
saraland,alabama,al,mobile
sardis_city,alabama,al,etowah
satsuma,alabama,al,mobile
scottsboro,alabama,al,jackson
section,alabama,al,jackson
selma,alabama,al,dallas
selmont-west_selmont,alabama,al,dallas
semmes,alabama,al,mobile
sheffield,alabama,al,colbert
shelby,alabama,al,shelby
shiloh,alabama,al,dekalb
shoal_creek,alabama,al,shelby
shorter,alabama,al,macon
silas,alabama,al,choctaw
silverhill,alabama,al,baldwin
sims_chapel,alabama,al,washington
sipsey,alabama,al,walker
skyline,alabama,al,jackson
slocomb,alabama,al,geneva
smiths_station,alabama,al,lee
smoke_rise,alabama,al,blount
snead,alabama,al,blount
somerville,alabama,al,morgan
south_vinemont,alabama,al,cullman
southside,alabama,al,etowah
spanish_fort,alabama,al,baldwin
spring_garden,alabama,al,cherokee
springville,alabama,al,st._clair
spruce_pine,alabama,al,franklin
st._florian,alabama,al,lauderdale
st._stephens,alabama,al,washington
standing_rock,alabama,al,chambers
steele,alabama,al,st._clair
sterrett,alabama,al,shelby
stevenson,alabama,al,jackson
stewartville,alabama,al,coosa
sulligent,alabama,al,lamar
sumiton,alabama,al,walker
summerdale,alabama,al,baldwin
susan_moore,alabama,al,blount
sweet_water,alabama,al,marengo
sylacauga,alabama,al,talladega
sylvan_springs,alabama,al,jefferson
sylvania,alabama,al,dekalb
talladega,alabama,al,talladega
talladega_springs,alabama,al,talladega
tallassee,alabama,al,elmore
