BioguideIds,112,113,114,115,116,117
Y000033,AK-00,AK-00,AK-00,AK-00,AK-00,AK-00
A000055,AL-04,AL-04,AL-04,AL-04,AL-04,AL-04
B000013,AL-06,AL-06,,,,
B001244,AL-01,AL-01,,,,
B001274,AL-05,AL-05,AL-05,AL-05,AL-05,AL-05
R000591,AL-02,AL-02,AL-02,AL-02,AL-02,
R000575,AL-03,AL-03,AL-03,AL-03,AL-03,AL-03
C001087,AR-01,AR-01,AR-01,AR-01,AR-01,AR-01
G000567,AR-02,AR-02,,,,
W000809,AR-03,AR-03,AR-03,AR-03,AR-03,AR-03
F000444,AZ-06,AZ-00,AZ-00,AZ-00,,
F000448,AZ-02,AZ-08,AZ-08,AZ-08,,
G000565,AZ-01,AZ-04,AZ-04,AZ-04,AZ-04,AZ-04
Q000024,AZ-03,,,,,
S001183,AZ-05,AZ-06,AZ-06,AZ-06,AZ-06,AZ-06
B000461,CA-05,,,,,
B001228,CA-04,,,,,
C000059,CA-04,CA-04,CA-04,CA-04,CA-04,CA-04
C001064,CA-04,CA-04,,,,
D000612,CA-01,CA-01,CA-01,CA-01,,
D000492,CA-02,,,,,
G000021,CA-02,,,,,
H000528,CA-02,,,,,
H001048,CA-05,CA-05,CA-05,CA-05,CA-05,
I000056,CA-04,CA-04,CA-04,CA-04,,CA-05
L000274,CA-04,,,,,
L000517,CA-03,,,,,
M001165,CA-02,CA-02,CA-02,CA-02,CA-02,CA-02
M001177,CA-04,CA-04,CA-04,CA-04,CA-04,CA-04
M000508,CA-02,CA-02,,,,
M001139,CA-04,CA-03,,,,
N000181,CA-02,CA-02,CA-02,CA-02,CA-02,CA-02
R000409,CA-04,CA-04,CA-04,CA-04,,
R000487,CA-04,CA-03,CA-03,CA-03,,
C001077,CO-06,CO-06,CO-06,CO-06,,
G000562,CO-04,CO-04,CO-00,CO-00,CO-00,
L000564,CO-05,CO-05,CO-05,CO-05,CO-05,CO-05
T000470,CO-03,CO-03,CO-03,CO-03,CO-03,
A000366,FL-02,,,,,
B001257,FL-09,FL-01,FL-01,FL-01,FL-01,FL-01
B001260,FL-01,FL-01,FL-01,FL-01,FL-01,FL-01
C001045,FL-04,FL-04,FL-04,,,
D000600,FL-02,FL-02,FL-02,FL-02,FL-02,FL-02
M001155,FL-01,,,,,
M000689,FL-07,FL-07,FL-07,,,
M001144,FL-01,FL-01,FL-01,,,
N000185,FL-05,FL-01,FL-01,,,
P000599,FL-01,FL-08,FL-08,FL-08,FL-08,FL-08
R000590,FL-02,,,,,
R000583,FL-01,FL-01,FL-01,FL-01,,
R000435,FL-01,FL-02,FL-02,FL-02,,
R000593,FL-01,FL-01,FL-01,FL-01,,
S001186,FL-02,FL-02,,,,
S000822,FL-06,,,,,
W000806,FL-08,FL-01,FL-01,FL-01,FL-01,FL-01
W000807,FL-02,,,,,
Y000031,FL-01,FL-01,,,,
B001262,GA-01,GA-01,,,,
G000550,GA-01,GA-01,,,,
G000560,GA-09,GA-01,GA-01,GA-01,GA-01,
K000220,GA-01,GA-01,,,,
P000591,GA-06,GA-06,GA-06,GA-06,,
S001189,GA-08,GA-08,GA-08,GA-08,GA-08,GA-08
W000796,GA-03,GA-03,GA-03,,,
W000810,GA-07,GA-07,GA-07,GA-07,GA-07,
K000362,IA-05,IA-04,IA-04,IA-04,IA-04,
L000111,IA-04,IA-03,,,,
L000573,ID-01,ID-01,ID-01,ID-01,,
S001148,ID-02,ID-02,ID-02,ID-02,ID-02,ID-02
B001232,IL-01,,,,,
D000613,IL-01,,IL-01,,,
H001059,IL-01,IL-01,IL-01,IL-01,,
J000285,IL-01,,,,,
K000378,IL-01,IL-01,IL-01,IL-01,IL-01,IL-01
M001138,IL-01,,,,,
R000580,IL-06,IL-06,IL-06,IL-06,,
S001182,IL-01,,,,,
S001179,IL-01,IL-01,IL-01,,,
S000364,IL-01,IL-01,IL-01,IL-01,IL-01,
W000811,IL-08,,,,,
B001275,IN-08,IN-08,IN-08,IN-08,IN-08,IN-08
B001149,IN-05,,,,,
P000587,IN-06,,,,,
R000592,IN-04,IN-04,IN-04,IN-04,,
S001188,IN-03,IN-03,IN-03,,,
Y000064,IN-09,IN-09,IN-09,IN-00,IN-00,IN-00
H001057,KS-01,KS-01,KS-01,,,
J000290,KS-02,KS-02,KS-02,KS-02,,
P000602,KS-04,KS-04,KS-04,KS-04,,
Y000063,KS-03,KS-03,KS-03,KS-03,,
D000603,KY-04,,,,,
G000558,KY-02,KY-02,KY-02,KY-02,KY-02,KY-02
R000395,KY-05,KY-05,KY-05,KY-05,KY-05,KY-05
W000413,KY-01,KY-01,KY-01,,,
A000361,LA-05,LA-05,,,,
B001255,LA-07,LA-03,LA-03,,,
C001075,LA-06,LA-06,LA-00,LA-00,LA-00,LA-00
F000456,LA-04,LA-04,LA-04,,,
L000574,LA-03,,,,,
S001176,LA-01,LA-01,LA-01,LA-01,LA-01,LA-01
B000208,MD-06,,,,,
H001052,MD-01,MD-01,MD-01,MD-01,MD-01,MD-01
A000367,MI-03,MI-03,MI-03,MI-03,MI-03,
B001271,MI-01,MI-01,MI-01,,,
C000071,MI-04,MI-04,,,,
H001058,MI-02,MI-02,MI-02,MI-02,MI-02,MI-02
M001147,MI-01,,,,,
M001150,MI-01,MI-01,MI-01,,,
R000572,MI-08,MI-08,,,,
U000031,MI-06,MI-06,MI-06,MI-06,MI-06,MI-06
W000798,MI-07,MI-07,MI-07,MI-07,MI-07,MI-07
B001256,MN-06,MN-06,,,,
C001086,MN-08,,,,,
K000363,MN-02,MN-02,MN-02,,,
P000594,MN-03,MN-03,MN-03,MN-03,,
A000358,MO-02,,,,,
E000172,MO-08,MO-08,,,,
