Place,County,StateCode,Population,ViolentCrime,PropertyCrime,SocietalCrime
abanda,chambers,al,34088,128,164,89
abbeville,henry,al,2390,96,76,129
adamsville,jefferson,al,4233,72,332,124
addison,winston,al,672,20,41,11
akron,hale,al,,,,
alabaster,shelby,al,33974,293,979,252
albertville,marshall,al,99423,191,512,75
alexander_city,tallapoosa,al,14476,696,816,322
alexandria,calhoun,al,115788,558,535,421
aliceville,pickens,al,2081,5,7,1
allgood,blount,al,59512,620,782,153
altoona,etowah,al,103088,59,85,13
andalusia,covington,al,8699,405,404,50
anderson,lauderdale,al,95878,445,780,302
anniston,calhoun,al,21007,991,1569,265
arab,marshall,al,8550,342,488,234
ardmore,limestone,al,1406,11,36,12
argo,st._clair,al,4421,23,36,24
ariton,dale,al,49544,445,780,302
arley,winston,al,23755,108,127,54
ashford,houston,al,2255,13,14,3
ashland,clay,al,1962,72,58,13
ashville,st._clair,al,2376,33,65,65
athens,limestone,al,28438,409,1029,163
atmore,escambia,al,8536,500,646,414
attalla,etowah,al,5840,108,400,115
auburn,lee,al,80759,827,1662,876
autaugaville,autauga,al,787,3,3,6
avon,houston,al,108079,570,919,431
axis,mobile,al,411411,1536,1895,897
babbie,covington,al,37602,2,1,7
baileyton,cullman,al,90665,1019,1190,1184
bakerhill,barbour,al,24706,50,55,19
ballplay,etowah,al,103088,59,85,13
banks,pike,al,33014,25,25,0
bay_minette,baldwin,al,8000,229,226,396
bayou_la_batre,mobile,al,2166,139,218,206
bear_creek,marion,al,1047,6,36,36
beatrice,monroe,al,19404,65,80,27
beaverton,lamar,al,,,,
belgreen,franklin,al,31932,215,312,314
belk,fayette,al,16118,43,65,76
bellamy,sumter,al,11853,14,3,0
belle_fontaine,mobile,al,411411,1536,1895,897
benton,lowndes,al,9777,44,83,2
berry,fayette,al,1193,8,9,35
bessemer,jefferson,al,25265,1074,3073,467
billingsley,autauga,al,59759,432,419,193
birmingham,jefferson,al,195050,6369,16282,1709
black,geneva,al,26783,68,122,21
blountsville,blount,al,1825,51,46,34
blue_ridge,elmore,al,89563,161,416,270
blue_springs,barbour,al,24706,50,55,19
boaz,marshall,al,99423,191,512,75
boligee,greene,al,7422,11,45,1
