Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
abanda,al,73,103.3,80,56
abbeville,al,52,105.7,74,52
adamsville,al,350,104.2,81,39
addison,al,46,101.6,61,59
akron,al,27,102.4,99,51
alabaster,al,208,104.5,79,39
albertville,al,102,103.2,55,59
alexander_city,al,113,105.7,80,49
alexandria,al,170,106.9,91,52
aliceville,al,43,102.8,70,57
allgood,al,30,111.8,76,59
altoona,al,193,107.7,85,62
andalusia,al,103,101.1,74,55
anderson,al,173,101.4,40,65
anniston,al,170,106.9,91,40
arab,al,102,103.2,55,60
ardmore,al,50,108.3,27,58
argo,al,32,107.2,81,54
ariton,al,53,103.5,50,52
arley,al,46,101.6,61,58
ashford,al,328,108.2,100,56
ashland,al,74,101.8,81,54
ashville,al,32,107.2,81,47
athens,al,50,108.3,27,52
atmore,al,77,102.7,80,58
attalla,al,193,107.7,85,50
auburn,al,124,103.5,73,40
autaugaville,al,58,106.9,80,51
avon,al,328,108.2,100,56
axis,al,209,106.7,60,51
babbie,al,103,101.1,74,56
baileyton,al,129,101.2,53,61
bakerhill,al,57,101,80,54
ballplay,al,193,107.7,85,54
banks,al,88,102.9,99,50
bay_minette,al,173,100.8,67,55
bayou_la_batre,al,209,106.7,60,70
bear_creek,al,109,102.4,60,62
beatrice,al,60,102.3,85,55
beaverton,al,22,104,47,61
belgreen,al,82,103,73,65
belk,al,48,102.9,66,56
bellamy,al,61,106.4,88,53
belle_fontaine,al,209,106.7,60,66
benton,al,19,105.1,86,53
berry,al,48,102.9,66,54
bessemer,al,350,104.2,81,35
billingsley,al,58,106.9,80,53
birmingham,al,350,104.2,81,26
black,al,34,104.8,100,52
blountsville,al,30,111.8,76,58
blue_ridge,al,48,105,87,46
blue_springs,al,57,101,80,52
boaz,al,102,103.2,55,60
boligee,al,59,100.9,100,51
bon_air,al,61,104.9,71,44
boykin,al,45,102.5,100,54
brantley,al,29,102.4,73,54
brantleyville,al,208,104.5,79,45
brent,al,27,108.1,100,49
brewton,al,77,102.7,80,37
bridgeport,al,92,102.9,53,62
brighton,al,350,104.2,81,27
brilliant,al,109,102.4,60,60
bristow_cove,al,193,107.7,85,62
brook_highland,al,208,104.5,79,39
brookside,al,350,104.2,81,40
brookwood,al,200,103.1,92,39
broomtown,al,39,101.2,89,63
brundidge,al,88,102.9,99,51
butler,al,53,108.3,88,56
calera,al,208,104.5,79,45
calvert,al,18,103,73,53
camden,al,45,102.5,100,54
camp_hill,al,113,105.7,80,53
carbon_hill,al,110,104,80,55
cardiff,al,350,104.2,81,43
carlisle-rockledge,al,193,107.7,85,62
carlton,al,73,102.3,100,57
carolina,al,103,101.1,74,56
carrollton,al,43,102.8,70,57
castleberry,al,47,101.7,84,49
cedar_bluff,al,39,101.2,89,59
center_point,al,350,104.2,81,41
centre,al,39,101.2,89,56
centreville,al,27,108.1,100,49
chatom,al,18,103,73,56
chelsea,al,208,104.5,79,47
cherokee,al,155,101.7,60,65
chickasaw,al,209,106.7,60,41
childersburg,al,61,104.9,71,44
choccolocco,al,170,106.9,91,56
chunchula,al,209,106.7,60,59
citronelle,al,209,106.7,60,59
clanton,al,27,108.8,88,47
clay,al,350,104.2,81,51
clayhatchee,al,53,103.5,50,54
clayton,al,57,101,80,50
cleveland,al,30,111.8,76,59
clio,al,57,101,80,52
coaling,al,200,103.1,92,40
coats_bend,al,193,107.7,85,57
coffee_springs,al,34,104.8,100,54
coffeeville,al,73,102.3,100,56
coker,al,200,103.1,92,43
collinsville,al,61,104.2,86,62
colony,al,129,101.2,53,51
columbia,al,328,108.2,100,56
columbiana,al,208,104.5,79,48
concord,al,350,104.2,81,37
coosada,al,48,105,87,45
cordova,al,110,104,80,50
cottondale,al,200,103.1,92,31
cottonwood,al,328,108.2,100,56
county_line,al,30,111.8,76,55
courtland,al,39,104.9,40,59
cowarts,al,328,108.2,100,55
creola,al,209,106.7,60,50
crossville,al,61,104.2,86,63
cuba,al,61,106.4,88,49
cullman,al,129,101.2,53,43
cullomburg,al,53,108.3,88,57
cusseta,al,73,103.3,80,55
dadeville,al,113,105.7,80,52
daleville,al,53,103.5,50,51
daphne,al,173,100.8,67,65
dauphin_island,al,209,106.7,60,76
