City,StateCode
abanda,al
abbeville,al
adamsville,al
addison,al
akron,al
alabaster,al
albertville,al
alexander_city,al
alexandria,al
aliceville,al
allgood,al
altoona,al
andalusia,al
anderson,al
anniston,al
arab,al
ardmore,al
argo,al
ariton,al
arley,al
ashford,al
ashland,al
ashville,al
athens,al
atmore,al
attalla,al
auburn,al
autaugaville,al
avon,al
axis,al
babbie,al
baileyton,al
bakerhill,al
ballplay,al
banks,al
bay_minette,al
bayou_la_batre,al
bear_creek,al
beatrice,al
beaverton,al
belgreen,al
belk,al
bellamy,al
belle_fontaine,al
benton,al
berry,al
bessemer,al
billingsley,al
birmingham,al
black,al
blountsville,al
blue_ridge,al
blue_springs,al
boaz,al
boligee,al
bon_air,al
boykin,al
brantley,al
brantleyville,al
brent,al
brewton,al
bridgeport,al
brighton,al
brilliant,al
bristow_cove,al
brook_highland,al
brookside,al
brookwood,al
broomtown,al
brundidge,al
butler,al
calera,al
calvert,al
camden,al
camp_hill,al
carbon_hill,al
cardiff,al
carlisle-rockledge,al
carlton,al
carolina,al
carrollton,al
castleberry,al
cedar_bluff,al
center_point,al
centre,al
centreville,al
chatom,al
chelsea,al
cherokee,al
chickasaw,al
childersburg,al
choccolocco,al
chunchula,al
citronelle,al
clanton,al
clay,al
clayhatchee,al
clayton,al
cleveland,al
clio,al
coaling,al
coats_bend,al
coffee_springs,al
coffeeville,al
coker,al
collinsville,al
colony,al
columbia,al
columbiana,al
concord,al
coosada,al
cordova,al
cottondale,al
cottonwood,al
county_line,al
courtland,al
cowarts,al
creola,al
crossville,al
cuba,al
cullman,al
cullomburg,al
cusseta,al
dadeville,al
daleville,al
daphne,al
dauphin_island,al
daviston,al
dayton,al
deatsville,al
decatur,al
deer_park,al
delta,al
demopolis,al
detroit,al
dodge_city,al
dora,al
dothan,al
double_springs,al
douglas,al
dozier,al
dunnavant,al
dutton,al
east_brewton,al
east_point,al
eclectic,al
edgewater,al
edwardsville,al
egypt,al
elba,al
elberta,al
eldridge,al
elkmont,al
elmore,al
emelle,al
emerald_mountain,al
enterprise,al
epes,al
ethelsville,al
eufaula,al
eunola,al
eutaw,al
eva,al
evergreen,al
excel,al
fairfield,al
fairford,al
fairhope,al
fairview,al
falkville,al
faunsdale,al
fayette,al
fayetteville,al
fitzpatrick,al
five_points,al
flomaton,al
florala,al
florence,al
foley,al
forestdale,al
forkland,al
fort_deposit,al
fort_payne,al
fort_rucker,al
franklin,al
fredonia,al
frisco_city,al
fruitdale,al
fruithurst,al
fulton,al
fultondale,al
fyffe,al
gadsden,al
gainesville,al
gallant,al
gantt,al
garden_city,al
gardendale,al
gaylesville,al
geiger,al
geneva,al
georgiana,al
geraldine,al
gilbertown,al
glen_allen,al
glencoe,al
glenwood,al
goldville,al
good_hope,al
goodwater,al
gordo,al
gordon,al
gordonville,al
goshen,al
graham,al
grand_bay,al
grant,al
grayson_valley,al
graysville,al
greensboro,al
greenville,al
grimes,al
grove_hill,al
guin,al
gulf_shores,al
gulfcrest,al
guntersville,al
gurley,al
gu-win,al
hackleburg,al
hackneyville,al
haleburg,al
haleyville,al
hamilton,al
hammondville,al
hanceville,al
harpersville,al
hartford,al
hartselle,al
harvest,al
hatton,al
hayden,al
hayneville,al
hazel_green,al
headland,al
heath,al
heflin,al
helena,al
henagar,al
highland_lake,al
highland_lakes,al
hillsboro,al
hissop,al
hobson,al
hobson_city,al
hodges,al
hokes_bluff,al
hollins,al
hollis_crossroads,al
holly_pond,al
hollywood,al
holt,al
holtville,al
homewood,al
hoover,al
