Place,City,County,StateCode
abanda,abanda,chambers,al
abbeville,abbeville,henry,al
adamsville,adamsville,jefferson,al
addison,addison,winston,al
akron,akron,hale,al
alabaster,alabaster,shelby,al
albertville,albertville,marshall,al
alexander_city,alexander_city,tallapoosa,al
alexandria,alexandria,calhoun,al
aliceville,aliceville,pickens,al
allgood,allgood,blount,al
altoona,altoona,etowah,al
andalusia,andalusia,covington,al
anderson,anderson,lauderdale,al
anniston,anniston,calhoun,al
arab,arab,marshall,al
ardmore,ardmore,limestone,al
argo,argo,st._clair,al
ariton,ariton,dale,al
arley,arley,winston,al
ashford,ashford,houston,al
ashland,ashland,clay,al
ashville,ashville,st._clair,al
athens,athens,limestone,al
atmore,atmore,escambia,al
attalla,attalla,etowah,al
auburn,auburn,lee,al
autaugaville,autaugaville,autauga,al
avon,avon,houston,al
axis,axis,mobile,al
babbie,babbie,covington,al
baileyton,baileyton,cullman,al
bakerhill,bakerhill,barbour,al
ballplay,ballplay,etowah,al
banks,banks,pike,al
bay_minette,bay_minette,baldwin,al
bayou_la_batre,bayou_la_batre,mobile,al
bear_creek,bear_creek,marion,al
beatrice,beatrice,monroe,al
beaverton,beaverton,lamar,al
belgreen,belgreen,franklin,al
belk,belk,fayette,al
bellamy,bellamy,sumter,al
belle_fontaine,belle_fontaine,mobile,al
benton,benton,lowndes,al
berry,berry,fayette,al
bessemer,bessemer,jefferson,al
billingsley,billingsley,autauga,al
birmingham,birmingham,jefferson,al
black,black,geneva,al
blountsville,blountsville,blount,al
blue_ridge,blue_ridge,elmore,al
blue_springs,blue_springs,barbour,al
boaz,boaz,marshall,al
boligee,boligee,greene,al
bon_air,bon_air,talladega,al
boykin,boykin,wilcox,al
brantley,brantley,crenshaw,al
brantleyville,brantleyville,shelby,al
brent,brent,bibb,al
brewton,brewton,escambia,al
bridgeport,bridgeport,jackson,al
brighton,brighton,jefferson,al
brilliant,brilliant,marion,al
bristow_cove,bristow_cove,etowah,al
brook_highland,brook_highland,shelby,al
brookside,brookside,jefferson,al
brookwood,brookwood,tuscaloosa,al
broomtown,broomtown,cherokee,al
brundidge,brundidge,pike,al
butler,butler,choctaw,al
calera,calera,shelby,al
calvert,calvert,washington,al
camden,camden,wilcox,al
camp_hill,camp_hill,tallapoosa,al
carbon_hill,carbon_hill,walker,al
cardiff,cardiff,jefferson,al
carlisle-rockledge,carlisle-rockledge,etowah,al
carlton,carlton,clarke,al
carolina,carolina,covington,al
carrollton,carrollton,pickens,al
castleberry,castleberry,conecuh,al
cedar_bluff,cedar_bluff,cherokee,al
center_point,center_point,jefferson,al
centre,centre,cherokee,al
centreville,centreville,bibb,al
chatom,chatom,washington,al
chelsea,chelsea,shelby,al
cherokee,cherokee,colbert,al
chickasaw,chickasaw,mobile,al
childersburg,childersburg,talladega,al
choccolocco,choccolocco,calhoun,al
chunchula,chunchula,mobile,al
citronelle,citronelle,mobile,al
clanton,clanton,chilton,al
clay,clay,jefferson,al
clayhatchee,clayhatchee,dale,al
clayton,clayton,barbour,al
cleveland,cleveland,blount,al
clio,clio,barbour,al
coaling,coaling,tuscaloosa,al
coats_bend,coats_bend,etowah,al
coffee_springs,coffee_springs,geneva,al
coffeeville,coffeeville,clarke,al
coker,coker,tuscaloosa,al
