Place,County
abanda,chambers
abbeville,henry
adamsville,jefferson
addison,winston
akron,hale
alabaster,shelby
albertville,marshall
alexander_city,tallapoosa
alexandria,calhoun
aliceville,pickens
allgood,blount
altoona,etowah
andalusia,covington
anderson,lauderdale
anniston,calhoun
arab,marshall
ardmore,limestone
argo,st. clair
ariton,dale
arley,winston
ashford,houston
ashland,clay
ashville,st. clair
athens,limestone
atmore,escambia
attalla,etowah
auburn,lee
autaugaville,autauga
avon,houston
axis,mobile
babbie,covington
baileyton,cullman
bakerhill,barbour
ballplay,etowah
banks,pike
bay_minette,baldwin
bayou_la_batre,mobile
bear_creek,marion
beatrice,monroe
beaverton,lamar
belgreen,franklin
belk,fayette
bellamy,sumter
belle_fontaine,mobile
benton,lowndes
berry,fayette
bessemer,jefferson
billingsley,autauga
birmingham,jefferson
black,geneva
blountsville,blount
blue_ridge,elmore
blue_springs,barbour
boaz,marshall
boligee,greene
bon_air,talladega
boykin,wilcox
brantley,crenshaw
brantleyville,shelby
brent,bibb
brewton,escambia
bridgeport,jackson
brighton,jefferson
brilliant,marion
bristow_cove,etowah
brook_highland,shelby
brookside,jefferson
brookwood,tuscaloosa
broomtown,cherokee
brundidge,pike
butler,choctaw
calera,shelby
calvert,washington
camden,wilcox
camp_hill,tallapoosa
carbon_hill,walker
cardiff,jefferson
carlisle-rockledge,etowah
carlton,clarke
carolina,covington
carrollton,pickens
castleberry,conecuh
cedar_bluff,cherokee
center_point,jefferson
centre,cherokee
centreville,bibb
chatom,washington
chelsea,shelby
cherokee,colbert
chickasaw,mobile
childersburg,talladega
choccolocco,calhoun
chunchula,mobile
citronelle,mobile
clanton,chilton
clay,jefferson
clayhatchee,dale
clayton,barbour
cleveland,blount
clio,barbour
coaling,tuscaloosa
coats_bend,etowah
coffee_springs,geneva
coffeeville,clarke
coker,tuscaloosa
collinsville,dekalb
colony,cullman
columbia,houston
columbiana,shelby
concord,jefferson
coosada,elmore
cordova,walker
cottondale,tuscaloosa
cottonwood,houston
county_line,blount
courtland,lawrence
cowarts,houston
creola,mobile
crossville,dekalb
cuba,sumter
cullman,cullman
cullomburg,choctaw
cusseta,chambers
dadeville,tallapoosa
daleville,dale
daphne,baldwin
dauphin_island,mobile
daviston,tallapoosa
dayton,marengo
deatsville,elmore
decatur,morgan
deer_park,washington
delta,clay
demopolis,marengo
detroit,lamar
dodge_city,cullman
dora,walker
dothan,houston
double_springs,winston
douglas,marshall
dozier,crenshaw
dunnavant,shelby
dutton,jackson
east_brewton,escambia
east_point,cullman
eclectic,elmore
edgewater,jefferson
edwardsville,cleburne
egypt,etowah
elba,coffee
elberta,baldwin
eldridge,walker
elkmont,limestone
elmore,elmore
emelle,sumter
emerald_mountain,elmore
enterprise,coffee
epes,sumter
ethelsville,pickens
eufaula,barbour
eunola,geneva
eutaw,greene
eva,morgan
evergreen,conecuh
excel,monroe
fairfield,jefferson
fairford,washington
fairhope,baldwin
fairview,cullman
falkville,morgan
faunsdale,marengo
fayette,fayette
fayetteville,talladega
fitzpatrick,bullock
five_points,chambers
flomaton,escambia
florala,covington
florence,lauderdale
foley,baldwin
forestdale,jefferson
forkland,greene
fort_deposit,lowndes
fort_payne,dekalb
fort_rucker,dale
franklin,macon
fredonia,chambers
frisco_city,monroe
fruitdale,washington
fruithurst,cleburne
fulton,clarke
fultondale,jefferson
fyffe,dekalb
gadsden,etowah
gainesville,sumter
gallant,etowah
gantt,covington
garden_city,cullman
gardendale,jefferson
gaylesville,cherokee
geiger,sumter
geneva,geneva
georgiana,butler
geraldine,dekalb
gilbertown,choctaw
glen_allen,fayette
glencoe,etowah
glenwood,crenshaw
goldville,tallapoosa
good_hope,cullman
goodwater,coosa
gordo,pickens
gordon,houston
gordonville,lowndes
goshen,pike
graham,randolph
grand_bay,mobile
grant,marshall
grayson_valley,jefferson
graysville,jefferson
greensboro,hale
greenville,butler
grimes,dale
grove_hill,clarke
guin,marion
gulf_shores,baldwin
gulfcrest,mobile
guntersville,marshall
gurley,madison
gu-win,marion
hackleburg,marion
hackneyville,tallapoosa
haleburg,henry
haleyville,winston
hamilton,marion
hammondville,dekalb
hanceville,cullman
harpersville,shelby
hartford,geneva
hartselle,morgan
