Place,StateCode,County
abanda,al,chambers
abbeville,al,henry
adamsville,al,jefferson
addison,al,winston
akron,al,hale
alabaster,al,shelby
albertville,al,marshall
alexander_city,al,tallapoosa
alexandria,al,calhoun
aliceville,al,pickens
allgood,al,blount
altoona,al,etowah
andalusia,al,covington
anderson,al,lauderdale
anniston,al,calhoun
arab,al,marshall
ardmore,al,limestone
argo,al,st._clair
ariton,al,dale
arley,al,winston
ashford,al,houston
ashland,al,clay
ashville,al,st._clair
athens,al,limestone
atmore,al,escambia
attalla,al,etowah
auburn,al,lee
autaugaville,al,autauga
avon,al,houston
axis,al,mobile
babbie,al,covington
baileyton,al,cullman
bakerhill,al,barbour
ballplay,al,etowah
banks,al,pike
bay_minette,al,baldwin
bayou_la_batre,al,mobile
bear_creek,al,marion
beatrice,al,monroe
beaverton,al,lamar
belgreen,al,franklin
belk,al,fayette
bellamy,al,sumter
belle_fontaine,al,mobile
benton,al,lowndes
berry,al,fayette
bessemer,al,jefferson
billingsley,al,autauga
birmingham,al,jefferson
black,al,geneva
blountsville,al,blount
blue_ridge,al,elmore
blue_springs,al,barbour
boaz,al,marshall
boligee,al,greene
bon_air,al,talladega
boykin,al,wilcox
brantley,al,crenshaw
brantleyville,al,shelby
brent,al,bibb
brewton,al,escambia
bridgeport,al,jackson
brighton,al,jefferson
brilliant,al,marion
bristow_cove,al,etowah
brook_highland,al,shelby
brookside,al,jefferson
brookwood,al,tuscaloosa
broomtown,al,cherokee
brundidge,al,pike
butler,al,choctaw
calera,al,shelby
calvert,al,washington
camden,al,wilcox
camp_hill,al,tallapoosa
carbon_hill,al,walker
cardiff,al,jefferson
carlisle-rockledge,al,etowah
carlton,al,clarke
carolina,al,covington
carrollton,al,pickens
castleberry,al,conecuh
cedar_bluff,al,cherokee
center_point,al,jefferson
centre,al,cherokee
centreville,al,bibb
chatom,al,washington
chelsea,al,shelby
cherokee,al,colbert
chickasaw,al,mobile
childersburg,al,talladega
choccolocco,al,calhoun
chunchula,al,mobile
citronelle,al,mobile
clanton,al,chilton
clay,al,jefferson
clayhatchee,al,dale
clayton,al,barbour
cleveland,al,blount
clio,al,barbour
coaling,al,tuscaloosa
coats_bend,al,etowah
coffee_springs,al,geneva
coffeeville,al,clarke
coker,al,tuscaloosa
collinsville,al,dekalb
colony,al,cullman
columbia,al,houston
columbiana,al,shelby
concord,al,jefferson
coosada,al,elmore
cordova,al,walker
cottondale,al,tuscaloosa
cottonwood,al,houston
county_line,al,blount
courtland,al,lawrence
cowarts,al,houston
creola,al,mobile
crossville,al,dekalb
cuba,al,sumter
cullman,al,cullman
cullomburg,al,choctaw
cusseta,al,chambers
dadeville,al,tallapoosa
daleville,al,dale
daphne,al,baldwin
dauphin_island,al,mobile
daviston,al,tallapoosa
dayton,al,marengo
deatsville,al,elmore
decatur,al,morgan
deer_park,al,washington
delta,al,clay
demopolis,al,marengo
detroit,al,lamar
dodge_city,al,cullman
dora,al,walker
dothan,al,houston
double_springs,al,winston
douglas,al,marshall
dozier,al,crenshaw
dunnavant,al,shelby
dutton,al,jackson
east_brewton,al,escambia
east_point,al,cullman
eclectic,al,elmore
edgewater,al,jefferson
edwardsville,al,cleburne
egypt,al,etowah
elba,al,coffee
elberta,al,baldwin
eldridge,al,walker
elkmont,al,limestone
elmore,al,elmore
emelle,al,sumter
emerald_mountain,al,elmore
enterprise,al,coffee
epes,al,sumter
ethelsville,al,pickens
eufaula,al,barbour
eunola,al,geneva
eutaw,al,greene
eva,al,morgan
evergreen,al,conecuh
excel,al,monroe
fairfield,al,jefferson
fairford,al,washington
fairhope,al,baldwin
fairview,al,cullman
falkville,al,morgan
faunsdale,al,marengo
fayette,al,fayette
fayetteville,al,talladega
fitzpatrick,al,bullock
five_points,al,chambers
flomaton,al,escambia
florala,al,covington
florence,al,lauderdale
foley,al,baldwin
forestdale,al,jefferson
forkland,al,greene
fort_deposit,al,lowndes
