CongressionalDistrict,Branch,Year,Constitutional (0-1),State
AK-00,house,2011,0.13,AK
AL-04,house,2011,0.2,AL
AL-06,house,2011,0.0,AL
AL-01,house,2011,0.0,AL
AL-05,house,2011,0.4,AL
AL-02,house,2011,0.13,AL
AL-03,house,2011,0.0,AL
AR-01,house,2011,0.07,AR
AR-02,house,2011,0.07,AR
AR-03,house,2011,0.07,AR
AZ-06,house,2011,0.73,AZ
AZ-02,house,2011,0.67,AZ
AZ-01,house,2011,0.07,AZ
AZ-03,house,2011,0.47,AZ
AZ-05,house,2011,0.67,AZ
CA-05,house,2011,0.02,CA
CA-04,house,2011,0.2,CA
CA-01,house,2011,0.06,CA
CA-02,house,2011,0.06,CA
CA-03,house,2011,0.02,CA
CO-06,house,2011,0.33,CO
CO-04,house,2011,0.27,CO
CO-05,house,2011,0.53,CO
CO-03,house,2011,0.53,CO
FL-02,house,2011,0.15,FL
FL-09,house,2011,0.07,FL
FL-01,house,2011,0.16,FL
FL-04,house,2011,0.0,FL
FL-07,house,2011,0.0,FL
FL-05,house,2011,0.13,FL
FL-06,house,2011,0.4,FL
FL-08,house,2011,0.13,FL
GA-01,house,2011,0.4,GA
GA-09,house,2011,0.67,GA
GA-06,house,2011,0.2,GA
GA-08,house,2011,0.2,GA
GA-03,house,2011,0.4,GA
GA-07,house,2011,0.27,GA
IA-05,house,2011,0.53,IA
IA-04,house,2011,0.07,IA
ID-01,house,2011,0.67,ID
ID-02,house,2011,0.07,ID
IL-01,house,2011,0.18,IL
IL-06,house,2011,0.0,IL
IL-08,house,2011,0.67,IL
IN-08,house,2011,0.2,IN
IN-05,house,2011,0.4,IN
IN-06,house,2011,0.27,IN
IN-04,house,2011,0.27,IN
IN-03,house,2011,0.53,IN
IN-09,house,2011,0.07,IN
KS-01,house,2011,0.6,KS
KS-02,house,2011,0.13,KS
KS-04,house,2011,0.27,KS
KS-03,house,2011,0.33,KS
KY-04,house,2011,0.07,KY
KY-02,house,2011,0.0,KY
KY-05,house,2011,0.0,KY
KY-01,house,2011,0.0,KY
LA-05,house,2011,0.0,LA
LA-07,house,2011,0.13,LA
LA-06,house,2011,0.0,LA
LA-04,house,2011,0.53,LA
LA-03,house,2011,0.4,LA
LA-01,house,2011,0.07,LA
MD-06,house,2011,0.4,MD
MD-01,house,2011,0.67,MD
MI-03,house,2011,0.93,MI
MI-01,house,2011,0.09,MI
MI-04,house,2011,0.07,MI
MI-02,house,2011,0.47,MI
MI-08,house,2011,0.07,MI
MI-06,house,2011,0.07,MI
MI-07,house,2011,0.27,MI
MN-06,house,2011,0.33,MN
MN-08,house,2011,0.2,MN
MN-02,house,2011,0.0,MN
MN-03,house,2011,0.07,MN
MO-02,house,2011,0.33,MO
MO-08,house,2011,0.0,MO
MO-06,house,2011,0.07,MO
MO-04,house,2011,0.2,MO
MO-07,house,2011,0.13,MO
MO-09,house,2011,0.0,MO
MS-03,house,2011,0.07,MS
MS-01,house,2011,0.07,MS
MS-04,house,2011,0.07,MS
MT-00,house,2011,0.33,MT
NC-06,house,2011,0.07,NC
NC-02,house,2011,0.07,NC
NC-05,house,2011,0.13,NC
NC-03,house,2011,0.67,NC
NC-01,house,2011,0.09,NC
NC-09,house,2011,0.07,NC
ND-00,house,2011,0.07,ND
NE-01,house,2011,0.07,NE
NE-03,house,2011,0.0,NE
NE-02,house,2011,0.13,NE
NH-02,house,2011,0.0,NH
NH-01,house,2011,0.2,NH
NJ-01,house,2011,0.01,NJ
NJ-05,house,2011,0.53,NJ
NJ-07,house,2011,0.0,NJ
NJ-02,house,2011,0.0,NJ
NJ-03,house,2011,0.0,NJ
NJ-04,house,2011,0.07,NJ
NM-02,house,2011,0.4,NM
NV-02,house,2011,0.67,NV
NV-03,house,2011,0.13,NV
NY-02,house,2011,0.08,NY
NY-01,house,2011,0.02,NY
NY-03,house,2011,0.0,NY
NY-09,house,2011,0.0,NY
OH-07,house,2011,0.27,OH
OH-08,house,2011,0.0,OH
OH-01,house,2011,0.05,OH
OH-06,house,2011,0.07,OH
OH-04,house,2011,0.53,OH
OH-05,house,2011,0.07,OH
OH-02,house,2011,0.33,OH
OH-03,house,2011,0.2,OH
OK-04,house,2011,0.0,OK
OK-05,house,2011,0.13,OK
OK-03,house,2011,0.0,OK
OK-01,house,2011,0.27,OK
OR-02,house,2011,0.0,OR
PA-01,house,2011,0.12,PA
PA-08,house,2011,0.2,PA
PA-06,house,2011,0.0,PA
PA-03,house,2011,0.0,PA
PA-07,house,2011,0.0,PA
