,City,State,StateCode,Fips,County,Latitude,Longitude,Population,Density,Zip,_merge
173,fitzpatrick,alabama,al,,,,,,,,left_only
291,lakeview,alabama,al,,,,,,,,left_only
359,mount_olive_(coosa_cnty),alabama,al,,,,,,,,left_only
360,mount_olive_(jefferson_cnty),alabama,al,,,,,,,,left_only
481,sims_chapel,alabama,al,,,,,,,,left_only
601,attu_station,alaska,ak,,,,,,,,left_only
603,barrow,alaska,ak,,,,,,,,left_only
619,chase,alaska,ak,,,,,,,,left_only
628,chiniak,alaska,ak,,,,,,,,left_only
683,game_creek,alaska,ak,,,,,,,,left_only
746,lake_louise,alaska,ak,,,,,,,,left_only
748,lakes,alaska,ak,,,,,,,,left_only
760,mccarthy,alaska,ak,,,,,,,,left_only
762,mckinley_park,alaska,ak,,,,,,,,left_only
797,northway_junction,alaska,ak,,,,,,,,left_only
798,northway_village,alaska,ak,,,,,,,,left_only
807,paxson,alaska,ak,,,,,,,,left_only
817,point_baker,alaska,ak,,,,,,,,left_only
827,port_protection,alaska,ak,,,,,,,,left_only
833,red_dog_mine,alaska,ak,,,,,,,,left_only
870,susitna,alaska,ak,,,,,,,,left_only
907,whitestone_logging_camp,alaska,ak,,,,,,,,left_only
916,ak_chin,arizona,az,,,,,,,,left_only
937,aztec,arizona,az,,,,,,,,left_only
939,bear_flat,arizona,az,,,,,,,,left_only
978,chiawuli_tak,arizona,az,,,,,,,,left_only
995,concho,arizona,az,,,,,,,,left_only
1004,cottonwood_cdp,arizona,az,,,,,,,,left_only
1020,dragoon,arizona,az,,,,,,,,left_only
1055,geronimo_estates,arizona,az,,,,,,,,left_only
1102,kohatk,arizona,az,,,,,,,,left_only
1116,littletown,arizona,az,,,,,,,,left_only
1159,orange_grove_mobile_manor,arizona,az,,,,,,,,left_only
1180,pimaco_two,arizona,az,,,,,,,,left_only
1200,red_rock_(apache_cnty),arizona,az,,,,,,,,left_only
1201,red_rock_(pinal_cnty),arizona,az,,,,,,,,left_only
1202,rillito,arizona,az,,,,,,,,left_only
1256,st._johns_cdp,arizona,az,,,,,,,,left_only
1270,sunwest,arizona,az,,,,,,,,left_only
1271,supai,arizona,az,,,,,,,,left_only
1294,toyei,arizona,az,,,,,,,,left_only
1307,vaiva_vo,arizona,az,,,,,,,,left_only
1316,village_of_oak_creek_(big_park),arizona,az,,,,,,,,left_only
1527,fredonia_(biscoe),arkansas,ar,,,,,,,,left_only
1629,lake_view,arkansas,ar,,,,,,,,left_only
1687,midway_town,arkansas,ar,,,,,,,,left_only
1791,salem_cdp,arkansas,ar,,,,,,,,left_only
1826,sulphur_springs_cdp,arkansas,ar,,,,,,,,left_only
1962,avilla_beach,california,ca,,,,,,,,left_only
1975,bayview_(contra_costa_cnty),california,ca,,,,,,,,left_only
1976,bayview_(humboldt_cnty),california,ca,,,,,,,,left_only
1979,bear_valley_(alpine_cnty),california,ca,,,,,,,,left_only
1980,bear_valley_(mariposa_cnty),california,ca,,,,,,,,left_only
1984,belden,california,ca,,,,,,,,left_only
2017,blairsden,california,ca,,,,,,,,left_only
2028,bonadelle_ranchos-madera_ranchos,california,ca,,,,,,,,left_only
2053,buck_meadows,california,ca,,,,,,,,left_only
2089,camp_nelson,california,ca,,,,,,,,left_only
2090,camp_pendleton_north,california,ca,,,,,,,,left_only
2102,carmet,california,ca,,,,,,,,left_only
2168,cold_springs_(el_dorado_cnty),california,ca,,,,,,,,left_only
2169,cold_springs_(tuolumne_cnty),california,ca,,,,,,,,left_only
2198,coultervillle,california,ca,,,,,,,,left_only
2307,el_cerrito_cdp,california,ca,,,,,,,,left_only
2313,el_rancho,california,ca,,,,,,,,left_only
2316,el_sobrante_(contra_costa_cnty),california,ca,,,,,,,,left_only
2317,el_sobrante_(riverside_cnty),california,ca,,,,,,,,left_only
2380,franklin_(merced_cnty),california,ca,,,,,,,,left_only
2381,franklin_(sacramento_cnty),california,ca,,,,,,,,left_only
2431,green_acres,california,ca,,,,,,,,left_only
2432,green_valley_(los_angeles_cnty),california,ca,,,,,,,,left_only
2433,green_valley_(solano_cnty),california,ca,,,,,,,,left_only
2436,greenfield_cdp,california,ca,,,,,,,,left_only
2479,highlands-baywood_park,california,ca,,,,,,,,left_only
2502,idlewild,california,ca,,,,,,,,left_only
2532,johnsville,california,ca,,,,,,,,left_only
2561,la_canada_flintridge,california,ca,,,,,,,,left_only
2569,la_porte,california,ca,,,,,,,,left_only
2619,las_flores_(orange_cnty),california,ca,,,,,,,,left_only
2620,las_flores_(tehama_cnty),california,ca,,,,,,,,left_only
2640,likely,california,ca,,,,,,,,left_only
2649,little_grass_valley,california,ca,,,,,,,,left_only
2653,live_oak_cdp,california,ca,,,,,,,,left_only
2729,mcgee_creek,california,ca,,,,,,,,left_only
2810,mountain_view_cdp,california,ca,,,,,,,,left_only
2900,paradise_cdp,california,ca,,,,,,,,left_only
2911,paso_robles,california,ca,,,,,,,,left_only
2916,pearsonville,california,ca,,,,,,,,left_only
2967,posey,california,ca,,,,,,,,left_only
3031,rolling_hills_cdp,california,ca,,,,,,,,left_only
3038,roseland,california,ca,,,,,,,,left_only
3087,san_miguel_(contra_costa_cnty),california,ca,,,,,,,,left_only
3088,san_miguel_(san_luis_obispo_cnty),california,ca,,,,,,,,left_only
3181,spring_valley_(lake_cnty),california,ca,,,,,,,,left_only
3182,spring_valley_(san_diego_cnty),california,ca,,,,,,,,left_only
